Data,Fruta,Venda,Pais
2022-07-28,Banana,52.0,Brasil
2022-10-26,Banana,85.0,Brasil
2022-01-13,Banana,77.0,Brasil
2022-12-13,Banana,84.0,Brasil
2022-01-20,Banana,89.0,Brasil
2022-04-23,Banana,97.0,Brasil
2022-04-11,Banana,79.0,Brasil
2022-02-24,Banana,74.0,Brasil
2022-08-01,Banana,84.0,Brasil
2022-06-03,Banana,84.0,Brasil
2022-05-08,Banana,78.0,Brasil
2022-03-06,Banana,76.0,Brasil
2022-10-25,Banana,93.0,Brasil
2022-05-18,Banana,77.0,Brasil
2022-01-13,Banana,50.0,Brasil
2022-10-04,Banana,77.0,Brasil
2022-12-13,Banana,53.0,Brasil
2022-05-24,Banana,99.0,Brasil
2022-05-07,Banana,89.0,Brasil
2022-06-30,Banana,50.0,Brasil
2022-11-21,Banana,76.0,Brasil
2022-03-12,Banana,79.0,Brasil
2022-05-11,Banana,82.0,Brasil
2022-12-20,Banana,71.0,Brasil
2022-09-02,Banana,67.0,Brasil
2022-03-13,Banana,96.0,Brasil
2022-05-07,Banana,72.0,Brasil
2022-09-04,Banana,69.0,Brasil
2022-03-09,Banana,90.0,Brasil
2022-09-26,Banana,60.0,Brasil
2022-09-11,Banana,86.0,Brasil
2022-05-05,Banana,54.0,Brasil
2022-06-09,Banana,50.0,Brasil
2022-06-10,Banana,87.0,Brasil
2022-09-19,Banana,83.0,Brasil
2022-12-15,Banana,56.0,Brasil
2022-04-10,Banana,57.0,Brasil
2022-01-30,Banana,73.0,Brasil
2022-10-04,Banana,59.0,Brasil
2022-05-21,Banana,62.0,Brasil
2022-06-21,Banana,92.0,Brasil
2022-03-17,Banana,55.0,Brasil
2022-01-14,Banana,84.0,Brasil
2022-11-04,Banana,59.0,Brasil
2022-03-18,Banana,94.0,Brasil
2022-01-16,Banana,70.0,Brasil
2022-03-29,Banana,72.0,Brasil
2022-11-05,Banana,86.0,Brasil
2022-11-14,Banana,70.0,Brasil
2022-04-15,Banana,54.0,Brasil
2022-03-11,Banana,76.0,Brasil
2022-09-12,Banana,60.0,Brasil
2022-05-22,Banana,91.0,Brasil
2022-11-17,Banana,83.0,Brasil
2022-03-10,Banana,52.0,Brasil
2022-10-27,Banana,86.0,Brasil
2022-07-21,Banana,87.0,Brasil
2022-05-25,Banana,66.0,Brasil
2022-08-29,Banana,80.0,Brasil
2022-10-21,Banana,82.0,Brasil
2022-12-15,Banana,95.0,Brasil
2022-11-22,Banana,61.0,Brasil
2022-10-10,Banana,80.0,Brasil
2022-09-01,Banana,79.0,Brasil
2022-10-14,Banana,99.0,Brasil
2022-05-06,Banana,67.0,Brasil
2022-08-06,Banana,54.0,Brasil
2022-11-30,Banana,91.0,Brasil
2022-04-11,Banana,58.0,Brasil
2022-09-05,Banana,51.0,Brasil
2022-11-06,Banana,87.0,Brasil
2022-12-03,Banana,67.0,Brasil
2022-02-28,Banana,50.0,Brasil
2022-07-03,Banana,73.0,Brasil
2022-01-14,Banana,72.0,Brasil
2022-02-07,Banana,66.0,Brasil
2022-03-19,Banana,74.0,Brasil
2022-04-05,Banana,85.0,Brasil
2022-01-27,Banana,90.0,Brasil
2022-06-20,Banana,50.0,Brasil
2022-09-30,Banana,73.0,Brasil
2022-11-07,Banana,82.0,Brasil
2022-08-08,Banana,83.0,Brasil
2022-08-29,Banana,79.0,Brasil
2022-04-03,Banana,99.0,Brasil
2022-06-21,Banana,89.0,Brasil
2022-10-04,Banana,55.0,Brasil
2022-01-08,Banana,54.0,Brasil
2022-11-02,Banana,69.0,Brasil
2022-01-21,Banana,50.0,Brasil
2022-08-23,Banana,89.0,Brasil
2022-12-25,Banana,75.0,Brasil
2022-01-07,Banana,53.0,Brasil
2022-01-25,Banana,97.0,Brasil
2022-10-06,Banana,89.0,Brasil
2022-02-27,Banana,86.0,Brasil
2022-01-11,Banana,80.0,Brasil
2022-04-10,Banana,100.0,Brasil
2022-02-14,Banana,95.0,Brasil
2022-09-04,Banana,84.0,Brasil
2022-02-23,Banana,55.0,Brasil
2022-08-01,Banana,87.0,Brasil
2022-01-27,Banana,80.0,Brasil
2022-03-25,Banana,51.0,Brasil
2022-11-30,Banana,94.0,Brasil
2022-01-04,Banana,68.0,Brasil
2022-02-08,Banana,82.0,Brasil
2022-04-02,Banana,65.0,Brasil
2022-11-15,Banana,98.0,Brasil
2022-08-29,Banana,90.0,Brasil
2022-06-22,Banana,65.0,Brasil
2022-08-02,Banana,95.0,Brasil
2022-09-17,Banana,59.0,Brasil
2022-03-25,Banana,75.0,Brasil
2022-05-23,Banana,74.0,Brasil
2022-07-24,Banana,94.0,Brasil
2022-03-21,Banana,88.0,Brasil
2022-10-29,Banana,96.0,Brasil
2022-12-05,Banana,98.0,Brasil
2022-03-14,Banana,51.0,Brasil
2022-02-02,Banana,65.0,Brasil
2022-12-12,Banana,84.0,Brasil
2022-04-22,Banana,93.0,Brasil
2022-07-22,Banana,98.0,Brasil
2022-10-21,Banana,79.0,Brasil
2022-03-13,Banana,83.0,Brasil
2022-09-09,Banana,91.0,Brasil
2022-10-06,Banana,95.0,Brasil
2022-08-19,Banana,84.0,Brasil
2022-09-22,Banana,70.0,Brasil
2022-09-27,Banana,58.0,Brasil
2022-05-31,Banana,77.0,Brasil
2022-11-09,Banana,87.0,Brasil
2022-08-18,Banana,90.0,Brasil
2022-10-12,Banana,71.0,Brasil
2022-08-26,Banana,65.0,Brasil
2022-10-25,Banana,51.0,Brasil
2022-06-15,Banana,67.0,Brasil
2022-05-14,Banana,72.0,Brasil
2022-08-06,Banana,85.0,Brasil
2022-04-25,Banana,97.0,Brasil
2022-11-10,Banana,98.0,Brasil
2022-06-11,Banana,50.0,Brasil
2022-05-26,Banana,96.0,Brasil
2022-11-10,Banana,54.0,Brasil
2022-02-21,Banana,58.0,Brasil
2022-06-24,Banana,73.0,Brasil
2022-01-17,Banana,85.0,Brasil
2022-05-26,Banana,65.0,Brasil
2022-07-24,Banana,79.0,Brasil
2022-01-05,Banana,76.0,Brasil
2022-12-13,Banana,59.0,Brasil
2022-12-29,Banana,66.0,Brasil
2022-09-09,Banana,83.0,Brasil
2022-01-26,Banana,58.0,Brasil
2022-10-08,Banana,69.0,Brasil
2022-06-25,Banana,81.0,Brasil
2022-12-31,Banana,93.0,Brasil
2022-05-07,Banana,88.0,Brasil
2022-02-03,Banana,98.0,Brasil
2022-05-28,Banana,56.0,Brasil
2022-03-15,Banana,52.0,Brasil
2022-07-24,Banana,64.0,Brasil
2022-07-27,Banana,72.0,Brasil
2022-07-31,Banana,99.0,Brasil
2022-06-29,Banana,74.0,Brasil
2022-09-14,Banana,58.0,Brasil
2022-07-17,Banana,62.0,Brasil
2022-04-19,Banana,70.0,Brasil
2022-01-16,Banana,87.0,Brasil
2022-07-03,Banana,80.0,Brasil
2022-01-29,Banana,57.0,Brasil
2022-07-27,Banana,77.0,Brasil
2022-03-18,Banana,67.0,Brasil
2022-06-26,Banana,59.0,Brasil
2022-10-21,Banana,75.0,Brasil
2022-07-11,Banana,70.0,Brasil
2022-01-12,Banana,68.0,Brasil
2022-03-31,Banana,82.0,Brasil
2022-06-26,Banana,93.0,Brasil
2022-01-19,Banana,62.0,Brasil
2022-01-28,Banana,70.0,Brasil
2022-03-06,Banana,75.0,Brasil
2022-09-21,Banana,93.0,Brasil
2022-02-17,Banana,91.0,Brasil
2022-03-04,Banana,51.0,Brasil
2022-09-03,Banana,50.0,Brasil
2022-05-25,Banana,79.0,Brasil
2022-02-14,Banana,86.0,Brasil
2022-11-21,Banana,75.0,Brasil
2022-06-16,Banana,83.0,Brasil
2022-04-02,Banana,78.0,Brasil
2022-08-25,Cereja,58.0,Brasil
2022-10-04,Cereja,85.0,Brasil
2022-01-03,Cereja,80.0,Brasil
2022-03-30,Cereja,75.0,Brasil
2022-01-10,Cereja,87.0,Brasil
2022-08-13,Cereja,74.0,Brasil
2022-10-14,Cereja,82.0,Brasil
2022-02-26,Cereja,100.0,Brasil
2022-02-10,Cereja,96.0,Brasil
2022-08-29,Cereja,78.0,Brasil
2022-03-22,Cereja,86.0,Brasil
2022-12-16,Cereja,74.0,Brasil
2022-06-29,Cereja,70.0,Brasil
2022-11-21,Cereja,60.0,Brasil
2022-10-11,Cereja,70.0,Brasil
2022-04-09,Cereja,51.0,Brasil
2022-11-16,Cereja,85.0,Brasil
2022-10-05,Cereja,81.0,Brasil
2022-08-12,Cereja,66.0,Brasil
2022-09-09,Cereja,85.0,Brasil
2022-11-18,Cereja,97.0,Brasil
2022-05-09,Cereja,81.0,Brasil
2022-10-04,Cereja,97.0,Brasil
2022-03-28,Cereja,71.0,Brasil
2022-03-11,Cereja,54.0,Brasil
2022-02-07,Cereja,95.0,Brasil
2022-10-06,Cereja,72.0,Brasil
2022-06-18,Cereja,99.0,Brasil
2022-05-30,Cereja,60.0,Brasil
2022-08-08,Cereja,84.0,Brasil
2022-05-23,Cereja,61.0,Brasil
2022-08-08,Cereja,76.0,Brasil
2022-01-16,Cereja,55.0,Brasil
2022-05-12,Cereja,77.0,Brasil
2022-12-29,Cereja,69.0,Brasil
2022-05-07,Cereja,67.0,Brasil
2022-01-08,Cereja,69.0,Brasil
2022-11-07,Cereja,87.0,Brasil
2022-06-25,Cereja,59.0,Brasil
2022-03-01,Cereja,84.0,Brasil
2022-12-19,Cereja,81.0,Brasil
2022-07-08,Cereja,78.0,Brasil
2022-07-11,Cereja,82.0,Brasil
2022-01-03,Cereja,86.0,Brasil
2022-09-08,Laranja,93.0,Brasil
2022-02-02,Laranja,67.0,Brasil
2022-01-09,Laranja,68.0,Brasil
2022-10-14,Laranja,72.0,Brasil
2022-06-27,Laranja,51.0,Brasil
2022-07-24,Laranja,74.0,Brasil
2022-03-04,Laranja,76.0,Brasil
2022-12-28,Laranja,100.0,Brasil
2022-03-19,Laranja,95.0,Brasil
2022-12-24,Laranja,95.0,Brasil
2022-12-15,Laranja,88.0,Brasil
2022-08-19,Laranja,65.0,Brasil
2022-08-12,Laranja,58.0,Brasil
2022-08-07,Laranja,60.0,Brasil
2022-08-13,Laranja,55.0,Brasil
2022-07-18,Laranja,67.0,Brasil
2022-08-12,Laranja,70.0,Brasil
2022-11-23,Laranja,73.0,Brasil
2022-11-17,Laranja,54.0,Brasil
2022-05-07,Laranja,54.0,Brasil
2022-12-26,Laranja,83.0,Brasil
2022-05-18,Laranja,58.0,Brasil
2022-10-21,Laranja,51.0,Brasil
2022-08-16,Laranja,83.0,Brasil
2022-01-28,Laranja,62.0,Brasil
2022-10-16,Laranja,75.0,Brasil
2022-03-19,Laranja,54.0,Brasil
2022-08-30,Laranja,63.0,Brasil
2022-08-16,Laranja,65.0,Brasil
2022-01-12,Laranja,88.0,Brasil
2022-04-18,Laranja,80.0,Brasil
2022-04-10,Laranja,71.0,Brasil
2022-02-01,Laranja,93.0,Brasil
2022-06-06,Laranja,84.0,Brasil
2022-08-12,Laranja,86.0,Brasil
2022-02-15,Laranja,94.0,Brasil
2022-10-26,Laranja,74.0,Brasil
2022-01-10,Laranja,100.0,Brasil
2022-11-06,Laranja,99.0,Brasil
2022-03-19,Laranja,99.0,Brasil
2022-03-18,Laranja,99.0,Brasil
2022-07-16,Laranja,53.0,Brasil
2022-11-01,Laranja,64.0,Brasil
2022-09-27,Laranja,76.0,Brasil
2022-11-09,Laranja,51.0,Brasil
2022-01-12,Laranja,78.0,Brasil
2022-09-15,Laranja,81.0,Brasil
2022-12-18,Laranja,95.0,Brasil
2022-12-09,Laranja,86.0,Brasil
2022-05-28,Laranja,74.0,Brasil
2022-05-29,Laranja,71.0,Brasil
2022-07-15,Laranja,78.0,Brasil
2022-12-25,Laranja,91.0,Brasil
2022-05-24,Laranja,91.0,Brasil
2022-09-18,Laranja,90.0,Brasil
2022-02-03,Laranja,51.0,Brasil
2022-08-12,Laranja,96.0,Brasil
2022-06-30,Laranja,57.0,Brasil
2022-07-29,Laranja,90.0,Brasil
2022-01-17,Laranja,99.0,Brasil
2022-08-02,Laranja,50.0,Brasil
2022-03-28,Laranja,67.0,Brasil
2022-01-19,Laranja,60.0,Brasil
2022-03-25,Laranja,53.0,Brasil
2022-09-16,Laranja,72.0,Brasil
2022-08-01,Laranja,58.0,Brasil
2022-10-16,Laranja,73.0,Brasil
2022-01-16,Laranja,90.0,Brasil
2022-10-02,Laranja,98.0,Brasil
2022-06-16,Laranja,81.0,Brasil
2022-07-15,Laranja,80.0,Brasil
2022-12-03,Laranja,59.0,Brasil
2022-01-19,Laranja,88.0,Brasil
2022-11-07,Laranja,77.0,Brasil
2022-02-25,Laranja,91.0,Brasil
2022-08-21,Laranja,94.0,Brasil
2022-08-02,Laranja,92.0,Brasil
2022-10-30,Laranja,67.0,Brasil
2022-11-09,Laranja,67.0,Brasil
2022-07-20,Laranja,75.0,Brasil
2022-03-12,Laranja,79.0,Brasil
2022-03-29,Laranja,64.0,Brasil
2022-06-25,Laranja,52.0,Brasil
2022-12-06,Laranja,80.0,Brasil
2022-05-20,Laranja,75.0,Brasil
2022-12-07,Laranja,58.0,Brasil
2022-03-17,Laranja,68.0,Brasil
2022-04-05,Laranja,91.0,Brasil
2022-11-10,Laranja,71.0,Brasil
2022-07-30,Laranja,83.0,Brasil
2022-11-03,Laranja,91.0,Brasil
2022-12-05,Laranja,58.0,Brasil
2022-01-26,Laranja,53.0,Brasil
2022-01-07,Laranja,72.0,Brasil
2022-06-25,Laranja,95.0,Brasil
2022-04-24,Laranja,91.0,Brasil
2022-01-05,Laranja,62.0,Brasil
2022-03-09,Laranja,50.0,Brasil
2022-09-15,Laranja,82.0,Brasil
2022-08-10,Laranja,57.0,Brasil
2022-04-08,Laranja,99.0,Brasil
2022-12-27,Laranja,50.0,Brasil
2022-11-02,Laranja,89.0,Brasil
2022-02-07,Laranja,53.0,Brasil
2022-09-19,Laranja,79.0,Brasil
2022-08-14,Laranja,82.0,Brasil
2022-07-19,Laranja,59.0,Brasil
2022-04-11,Laranja,55.0,Brasil
2022-11-25,Laranja,68.0,Brasil
2022-03-17,Laranja,56.0,Brasil
2022-03-24,Laranja,73.0,Brasil
2022-10-12,Laranja,51.0,Brasil
2022-12-20,Laranja,65.0,Brasil
2022-08-28,Laranja,77.0,Brasil
2022-08-30,Laranja,65.0,Brasil
2022-09-23,Laranja,60.0,Brasil
2022-05-05,Laranja,56.0,Brasil
2022-12-09,Laranja,88.0,Brasil
2022-12-12,Laranja,98.0,Brasil
2022-07-20,Laranja,86.0,Brasil
2022-02-19,Laranja,55.0,Brasil
2022-07-25,Laranja,53.0,Brasil
2022-01-27,Laranja,67.0,Brasil
2022-10-21,Laranja,95.0,Brasil
2022-09-24,Laranja,52.0,Brasil
2022-06-26,Laranja,63.0,Brasil
2022-01-20,Laranja,63.0,Brasil
2022-11-26,Laranja,79.0,Brasil
2022-12-22,Laranja,93.0,Brasil
2022-07-01,Laranja,65.0,Brasil
2022-05-06,Laranja,69.0,Brasil
2022-01-22,Laranja,90.0,Brasil
2022-08-07,Laranja,80.0,Brasil
2022-12-23,Laranja,59.0,Brasil
2022-02-27,Laranja,72.0,Brasil
2022-06-06,Laranja,89.0,Brasil
2022-11-16,Laranja,53.0,Brasil
2022-03-21,Laranja,92.0,Brasil
2022-08-01,Laranja,58.0,Brasil
2022-08-25,Laranja,80.0,Brasil
2022-08-27,Laranja,65.0,Brasil
2022-02-28,Laranja,73.0,Brasil
2022-08-05,Laranja,69.0,Brasil
